size,time
1000,834254.100000
2000,1494837.600000
3000,1912112.500000
4000,2087195.700000
5000,2336849.900000
6000,2656125.000000
7000,3243858.400000
8000,3942183.400000
9000,4829491.600000
10000,5687741.800000
11000,6597012.600000
12000,7590958.500000
13000,8656850.100000
14000,9744850.100000
15000,10882000.000000
16000,12211737.500000
17000,13457025.100000
18000,14829995.800000
19000,16136891.500000
20000,17626604.300000
21000,19176595.900000
22000,20739025.100000
23000,22456358.500000
24000,24413928.900000
25000,25905012.600000
26000,27679645.800000
27000,29569158.300000
28000,31437770.900000
29000,33544233.300000
30000,35527579.400000
31000,37848491.500000
32000,39870474.900000
33000,42351633.400000
34000,44814283.400000
35000,47237466.600000
36000,49614196.000000
37000,52370699.900000
38000,54351754.200000
39000,57184308.400000
40000,60045737.500000
41000,62828587.600000
42000,65630112.400000
43000,68090291.600000
44000,71069741.700000
45000,74417816.800000
46000,77672966.600000
47000,80566175.200000
48000,83978316.900000
49000,86792350.000000
50000,89737625.100000
51000,94232029.200000
52000,96693587.400000
53000,100289975.100000
54000,104049895.800000
55000,107374516.700000
56000,111598404.100000
57000,114959254.100000
58000,118763400.200000
59000,122360033.600000
60000,126866879.000000
61000,129925770.900000
62000,134319350.000000
63000,138520645.800000
64000,143116908.300000
65000,147162970.700000
66000,151369412.400000
67000,155930533.400000
68000,159855912.200000
69000,164419124.800000
70000,169189887.500000
71000,173051400.000000
72000,178259154.200000
73000,183320837.600000
74000,187001845.800000
75000,192529512.500000
76000,197948887.500000
77000,202328745.900000
78000,208490704.200000
79000,213165516.600000
80000,218318637.400000
81000,222157012.600000
82000,227829116.600000
83000,233707991.800000
84000,238309925.100000
85000,243941287.400000
86000,249023808.300000
87000,255700295.800000
88000,261142870.800000
89000,267337883.200000
90000,274891183.300000
91000,277780166.500000
92000,283976433.400000
93000,291993316.900000
94000,295864670.900000
95000,301870425.000000
96000,309559004.100000
97000,315102754.000000
98000,320508754.100000
99000,327503095.900000
100000,334099791.600000
