x,y
0,75
13,34
1,20
57,24
44,90
87,12
26,3
17,47
98,27
14,30
46,30
89,68
55,1
23,16
33,89
27,56
37,73
1,11
5,92
25,46
49,35
51,28
38,74
75,37
49,86
38,76
70,90
65,73
16,5
99,12
64,86
34,19
49,64
38,88
60,66
9,30
25,14
93,98
27,89
36,36
13,75
80,8
3,23
2,76
39,76
13,91
76,47
51,61
1,74
47,44
59,65
79,7
57,89
33,61
65,93
24,41
84,68
59,29
80,79
36,63
48,49
45,0
85,31
49,94
88,38
10,54
33,92
75,32
34,40
13,41
78,28
63,99
89,40
98,75
13,83
55,81
0,5
69,9
8,42
74,64
43,93
27,91
59,82
64,62
93,34
99,90
4,99
89,51
18,75
14,39
55,47
66,97
28,95
96,35
0,31
66,50
40,39
11,60
48,59
1,24
